연번,업종명,업소명,소재지도로명,소재지지번,업태명
125,휴게음식점,베리트로스팅하우스,"경상북도 경산시 펜타힐즈2로 37, 힐즈스퀘어3 703호 (중산동)",경상북도 경산시 중산동 637-2 힐즈스퀘어3 703호,커피숍
126,휴게음식점,커피카고,"경상북도 경산시 중방로 119, 1, 2층 (계양동)","경상북도 경산시 계양동 68-1 1, 2층 ",커피숍
127,휴게음식점,호미(Homi),경상북도 경산시 삼성현로15길 46 (옥산동),경상북도 경산시 옥산동 820-2 ,커피숍
128,휴게음식점,공차 영남대점,"경상북도 경산시 대학로 299, 107호 (조영동)",경상북도 경산시 조영동 280-5 107호,커피숍
129,휴게음식점,컴포즈커피(경산NC점),"경상북도 경산시 중앙로 39, 4층 (중방동)",경상북도 경산시 중방동 332-13 4층 ,커피숍
130,휴게음식점,아름다운 삶의 공간,경상북도 경산시 남산면 하남로 286-8,경상북도 경산시 남산면 사월리 168-1 ,커피숍
131,휴게음식점,마시카롱,"경상북도 경산시 청운2로 74, 101동 지하1층 상가107호 (조영동, 강산애아파트 2차)",경상북도 경산시 조영동 572-1 강산애아파트 2차 지하1층 101동 상가107호,커피숍
132,휴게음식점,러빗커피(LOVIT COFFEE),경상북도 경산시 진량읍 대구대로60길 5-10,경상북도 경산시 진량읍 평사(坪)리 30-11 ,커피숍
133,휴게음식점,마고플레인B,"경상북도 경산시 진량읍 대학로 1383-1, 다동 1~2층",경상북도 경산시 진량읍 부기리 473-12 다동 ,커피숍
134,휴게음식점,카페 엔라포토,"경상북도 경산시 선비길2길 44, 1,2층 (사정동)","경상북도 경산시 사정동 101-3 1,2층 ",커피숍
135,휴게음식점,로터스101 커피숍,경상북도 경산시 화랑로8길 204 (갑제동),경상북도 경산시 갑제동 101-1 ,커피숍
136,휴게음식점,풀꽃뜨락,경상북도 경산시 와촌면 대한길 37-3,경상북도 경산시 와촌면 대한리 124-6 ,커피숍
137,휴게음식점,카페 윤슬,경상북도 경산시 경안로29길 36 (서상동),경상북도 경산시 서상동 5-1 ,커피숍
138,휴게음식점,악당베이커리,"경상북도 경산시 펜타힐즈2로 25, 힐즈스퀘어4 1층 109호 (중산동)",경상북도 경산시 중산동 638-1 힐즈스퀘어4 109호,커피숍
139,휴게음식점,카페소셜랲,"경상북도 경산시 경산로 149, 2층 (사정동)",경상북도 경산시 사정동 20-25 2층 ,커피숍
140,휴게음식점,단스부띠끄,경상북도 경산시 대학로28길 39 (중방동),경상북도 경산시 중방동 825-5 ,커피숍
141,휴게음식점,감성연구소 수다수다,"경상북도 경산시 펜타힐즈2로 59, S-테라스 304호 (중산동)",경상북도 경산시 중산동 635 S-테라스 304호,커피숍
142,휴게음식점,카페이웃집수달,경상북도 경산시 한의대로 136 (점촌동),경상북도 경산시 점촌동 60-11 ,커피숍
143,휴게음식점,다와커피,경상북도 경산시 와촌면 금송로 464,경상북도 경산시 와촌면 동강리 97-1 ,커피숍
