연번,업종명,업소명,소재지도로명,소재지지번,업태명
257,휴게음식점,달콘스콘.D,"경상북도 경산시 경산로 53, 덕재빌딩 1층 (옥곡동)",경상북도 경산시 옥곡동 823-8 덕재빌딩 1층 ,커피숍
258,휴게음식점,리더치(re더치),"경상북도 경산시 하양읍 하양로 116, 2층",경상북도 경산시 하양읍 금락리 14-5 2층 ,커피숍
259,휴게음식점,마실커피 하양점,"경상북도 경산시 하양읍 문화로 3, 105동 122호 (하양3차우방타운)",경상북도 경산시 하양읍 금락리 130-8 하양3차우방타운 105동 122호,커피숍
260,휴게음식점,욜로(YOLO),"경상북도 경산시 장산로 321, 부영2차아파트 상가동 101호 (사동)",경상북도 경산시 사동 650-1 부영2차아파트 상가동 101호,커피숍
261,휴게음식점,하이오커피,"경상북도 경산시 펜타힐즈2로 27, 중산타워 105호 (중산동)",경상북도 경산시 중산동 638 중산타워 105호,커피숍
262,휴게음식점,파스쿠찌 경산중방DI,"경상북도 경산시 대학로 146, 1,2층 (중방동)",경상북도 경산시 중방동 909 ,커피숍
263,휴게음식점,카페베풂,"경상북도 경산시 남매공원로2길 16, 102호 (계양동)",경상북도 경산시 계양동 812 102호,커피숍
264,휴게음식점,커피키친 한일,"경상북도 경산시 하양읍 금송로 62, 1층",경상북도 경산시 하양읍 동서리 609 1층 ,커피숍
265,휴게음식점,빽다방 경산펜타힐즈점,"경상북도 경산시 펜타힐즈2로 57, 펜타힐즈SM타워 117호 (중산동)",경상북도 경산시 중산동 635-1 펜타힐즈SM타워 117호,커피숍
266,휴게음식점,크레마75,"경상북도 경산시 미래로 120, 경북권역재활병원 2층 (평산동)",경상북도 경산시 평산동 271-4 경북권역재활병원 2층 ,커피숍
267,휴게음식점,마실커피 옥곡점,경상북도 경산시 경산로7길 4-3 (옥곡동),경상북도 경산시 옥곡동 825-6 ,커피숍
268,휴게음식점,노멀즈커피,경상북도 경산시 경청로217길 3-11 (백천동),경상북도 경산시 백천동 586-7 ,커피숍
269,휴게음식점,대구대 더브릿지 카페,"경상북도 경산시 진량읍 대구대로 201, 대구대학교 비호생활관 후생관 2층",경상북도 경산시 진량읍 내리리 15 대구대학교 비호생활관 후생관 2층 ,커피숍
270,휴게음식점,카페 봄봄 중산점,"경상북도 경산시 경산로 280, 502동 6호 (중산동, 중산 하늘채 더퍼스트)",경상북도 경산시 중산동 693 중산 하늘채 더퍼스트 502동 6호,커피숍
271,휴게음식점,더리터 하양우미린점,"경상북도 경산시 하양읍 서사도리로 70, 상가동 108호 (경산하양 우미린 더센트럴)",경상북도 경산시 하양읍 서사리 351 경산하양 우미린 더센트럴 상가동 108호,커피숍
272,휴게음식점,메가엠지씨커피 경산삼풍점,경상북도 경산시 삼풍로 18 (삼풍동),경상북도 경산시 삼풍동 508-3 ,커피숍
273,휴게음식점,스텔라,"경상북도 경산시 진량읍 대구대로 201, 대구대학교 91. 편의시설동 2층",경상북도 경산시 진량읍 내리리 15 대구대학교경산캠퍼스 편의시설동 ,커피숍
274,휴게음식점,그린보트 커피,"경상북도 경산시 남매공원로2길 24-1, 1층 (계양동)",경상북도 경산시 계양동 822 1층 ,커피숍
275,휴게음식점,레스카페 모시나비,경상북도 경산시 용성면 송림길 76,경상북도 경산시 용성면 송림리 853-1 ,커피숍
276,휴게음식점,바름커피,"경상북도 경산시 경산로44길 25, 옥산 신화·평광아파트 상가27동 107호 (옥산동)",경상북도 경산시 옥산동 725-2 옥산 신화·평광아파트 상가27동 107호,커피숍
277,휴게음식점,쿠힘(kuheem),"경상북도 경산시 대학로10길 24, 마동 1층 (정평동)",경상북도 경산시 정평동 214-2 마동 1층 ,커피숍
278,휴게음식점,투썸플레이스 경산대로점,경상북도 경산시 경산로 221 (옥산동),경상북도 경산시 옥산동 178-7 ,커피숍
279,휴게음식점,구공카페,<REPLACE>,경상북도 경산시 하양읍 대학리 506 무학회관 1층 ,커피숍
280,휴게음식점,스타벅스 대구대학교점,"경상북도 경산시 진량읍 대구대로 201, 대구대학교 91.편의시설동 1층",경상북도 경산시 진량읍 내리리 15 대구대학교 91.편의시설동 1층 ,커피숍
281,휴게음식점,플러터(Flutter),"경상북도 경산시 남매로 237, C동 (중방동)",경상북도 경산시 중방동 105-5 C동 ,커피숍
282,휴게음식점,마실커피 와촌점 14호점,"경상북도 경산시 와촌면 지식산업2로 140, B동",경상북도 경산시 와촌면 덕촌리 1035 B동 ,커피숍
283,휴게음식점,짹슨커피 영대점,"경상북도 경산시 압량읍 김유신로 22, 1층",경상북도 경산시 압량읍 신대리 136-1 1층 ,커피숍
284,휴게음식점,커피명가 본,"경상북도 경산시 압량읍 임당로 230, 주건축물제1동 1,2층",경상북도 경산시 압량읍 금구리 683-4 주건축물제1동 ,커피숍
285,휴게음식점,피플앤퍼피,경상북도 경산시 압량읍 김유신로 40,경상북도 경산시 압량읍 신대리 277-4 ,커피숍
286,휴게음식점,카페 아이엔지 영남대점,"경상북도 경산시 대학로 280, 영남대학교 창업보육센터 1층 100-1호 (대동)",경상북도 경산시 대동 214-1 영남대학교 창업보육센터 1층 100-1호 ,커피숍
287,휴게음식점,제주커피&커피덕후,"경상북도 경산시 남매로 173-2, 1층 (중방동)",경상북도 경산시 중방동 699-5 1층 ,커피숍
288,휴게음식점,라마커피,"경상북도 경산시 중앙로 15-4, 창신아파트 상가동 2호 (사정동)",경상북도 경산시 사정동 16-16 창신아파트 상가동 2호,커피숍
289,휴게음식점,마실커피 중방점,경상북도 경산시 경안로38길 21 (중방동),경상북도 경산시 중방동 846-7 ,커피숍
290,휴게음식점,오아시스세이,경상북도 경산시 하양읍 문화로2길 4-3,경상북도 경산시 하양읍 금락리 131-128 ,커피숍
291,휴게음식점,소월애,경상북도 경산시 와촌면 지식산업8로6길 51,경상북도 경산시 와촌면 소월리 1487 ,커피숍
292,휴게음식점,청솔로9 중산점,"경상북도 경산시 펜타힐즈2로 65, 펜타힐즈 더원 108호 (중산동)",경상북도 경산시 중산동 633 펜타힐즈 더원 108호,커피숍
293,휴게음식점,빽다방 경산삼성현공원점,"경상북도 경산시 남산면 삼성현로 915, 1층",경상북도 경산시 남산면 인흥리 363-15 1층 ,커피숍
294,휴게음식점,과일다방,"경상북도 경산시 성암로11길 1-1, 1층 (옥산동)",경상북도 경산시 옥산동 862 1층 ,커피숍
295,휴게음식점,마고포레스트,"경상북도 경산시 경안로73길 20, 1,2층 (대평동)","경상북도 경산시 대평동 94-10 1,2층 ",커피숍
296,휴게음식점,요거트월드 경산점,"경상북도 경산시 장산로29길 7, 1층 (삼북동)",경상북도 경산시 삼북동 278-23 1층 ,커피숍
297,휴게음식점,블랑제리라팡,"경상북도 경산시 원효로36길 7, 1층 (사동)",경상북도 경산시 사동 569 1층 ,커피숍
298,휴게음식점,카페 엘엘엘,경상북도 경산시 하양읍 도리길 3,경상북도 경산시 하양읍 도리리 112-83 ,커피숍
299,휴게음식점,하말,"경상북도 경산시 와촌면 대한길 13, 1,2층","경상북도 경산시 와촌면 대한리 99 1,2층 ",커피숍
300,휴게음식점,어썸주스 옥산점,"경상북도 경산시 성암로11길 1-1, 4층 (옥산동)",경상북도 경산시 옥산동 862 4층 ,커피숍
301,휴게음식점,마실커피 경산역점,경상북도 경산시 중앙로 5-1 (사정동),경상북도 경산시 사정동 40-9 ,커피숍
302,휴게음식점,로위스(Lowes),"경상북도 경산시 대학로9길 11, 중산상가 1층 105호 (정평동)",경상북도 경산시 정평동 158-11 중산상가 1층 105호,커피숍
303,휴게음식점,아침에 볶는 커피,"경상북도 경산시 경안로 19, 1층 (백천동)",경상북도 경산시 백천동 1-2 1층 ,커피숍
304,휴게음식점,하이오커피 경산영대점,"경상북도 경산시 삼풍로 15, 1층 (삼풍동)",경상북도 경산시 삼풍동 506-4 1층 ,커피숍
305,휴게음식점,더벤티 경산사동점,"경상북도 경산시 백자로10길 3-17, 1층 (사동)",경상북도 경산시 사동 38 1층 ,커피숍
306,휴게음식점,우드명가,"경상북도 경산시 경안로 395-2, 1층 (대평동)",경상북도 경산시 대평동 27-2 1층 ,커피숍
307,휴게음식점,코튼캔디커피,"경상북도 경산시 압량읍 김유신로 11, 113동 107호 (경산한신휴플러스아파트)",경상북도 경산시 압량읍 신대리 702 경산한신휴플러스아파트 113동 107호,커피숍
308,휴게음식점,더벤티 경산하양점,"경상북도 경산시 하양읍 서사도리7로 21, SG타워 107호",경상북도 경산시 하양읍 서사리 304 SG타워 107호,커피숍
309,휴게음식점,샛별까페,"경상북도 경산시 남천면 남천로 784, 1층",경상북도 경산시 남천면 협석리 449-1 1층 ,커피숍
310,휴게음식점,페이퍼,"경상북도 경산시 경안로67길 2-13, 1층 (대평동)",경상북도 경산시 대평동 432-1 1층 ,커피숍
311,휴게음식점,포포모모,"경상북도 경산시 대학로70길 32, 1층 (조영동)",경상북도 경산시 조영동 372-16 ,커피숍
312,휴게음식점,스타벅스 경산하양DT,"경상북도 경산시 진량읍 대학로 1417, 1,2층","경상북도 경산시 진량읍 부기리 532-1 1,2층 ",커피숍
313,휴게음식점,와넛,경상북도 경산시 압량읍 김유신로 48,경상북도 경산시 압량읍 신대리 277 ,커피숍
314,휴게음식점,이디야커피(신대부적점),"경상북도 경산시 압량읍 압독3로 15, 주건축물제1동 1, 2층","경상북도 경산시 압량읍 신대리 475 주건축물제1동 1, 2층 ",커피숍
315,휴게음식점,머뭄:머무르다,"경상북도 경산시 남산면 하남로 324, 1층",경상북도 경산시 남산면 산양리 84-1 1층 ,커피숍
316,휴게음식점,스타벅스 경산중산점,"경상북도 경산시 펜타힐즈로 74, 힐즈스퀘어1 109,110,111,112호 (중산동)","경상북도 경산시 중산동 632 힐즈스퀘어1 109,110,111,112 ",커피숍
317,휴게음식점,어바웃더베이크,"경상북도 경산시 경안로21길 19, 1층 (삼남동)",경상북도 경산시 삼남동 66-1 1층 ,커피숍
318,휴게음식점,마실커피 진량점,"경상북도 경산시 진량읍 공단1로1길 81, 1층",경상북도 경산시 진량읍 신상리 356-1 1층 ,커피숍
319,휴게음식점,마들카페,"경상북도 경산시 압량읍 압량시장길 1, 행복발전소 2층",경상북도 경산시 압량읍 부적리 461-1 행복발전소 2층 ,커피숍
320,휴게음식점,더벤티 경산펜타힐즈점,"경상북도 경산시 펜타힐즈2로 45, 힐스스퀘어2 113호 (중산동)",경상북도 경산시 중산동 637 힐스스퀘어2 113호,커피숍
321,휴게음식점,텐퍼센트 경산시청점,"경상북도 경산시 중앙로 82, 1층 (중방동)",경상북도 경산시 중방동 539-2 1층 ,커피숍
322,휴게음식점,짹슨커피 옥산점,"경상북도 경산시 성암로7길 6, A동 112호 (옥산동)",경상북도 경산시 옥산동 849-5 A동 112호,커피숍
323,휴게음식점,영남상회 제작소,"경상북도 경산시 삼풍로 20, 1층 (삼풍동)",경상북도 경산시 삼풍동 508-2 1층 ,커피숍
324,휴게음식점,카페인중독 경산중방점,"경상북도 경산시 대학로 299, 108호 (조영동)",경상북도 경산시 조영동 280-5 108호,커피숍
325,휴게음식점,매머드익스프레스 경산하양점,"경상북도 경산시 하양읍 서사도리9로 17, 드림스퀘어2 110호",경상북도 경산시 하양읍 서사리 339 드림스퀘어2 110호,커피숍
326,휴게음식점,컴포즈커피 경산하양점,"경상북도 경산시 하양읍 하양로 46, 1층",경상북도 경산시 하양읍 금락리 116-274 1층 ,커피숍
327,휴게음식점,더리터 경산삼풍점,"경상북도 경산시 삼풍로 14, 1층 (삼풍동)",경상북도 경산시 삼풍동 509-1 1층 ,커피숍
328,휴게음식점,주식회사 디디얌,"경상북도 경산시 남매공원로1길 16, 1,2층 (계양동)","경상북도 경산시 계양동 730 1,2층 ",커피숍
329,휴게음식점,니트로814(Nitro814),"경상북도 경산시 삼성현로 8-5, 1층 (옥산동)",경상북도 경산시 옥산동 677-22 1층 ,커피숍
330,휴게음식점,호떡당 경산하양점,"경상북도 경산시 하양읍 서사도리9로 25, 드림스퀘어1 109호",경상북도 경산시 하양읍 서사리 342 드림스퀘어1 109호,커피숍
331,휴게음식점,바이버리 커피(BIBURY COFFEE),"경상북도 경산시 옥산로 108, 1층 (옥산동)",경상북도 경산시 옥산동 218-6 1층 ,커피숍
332,휴게음식점,대만정카스테라 경산점,"경상북도 경산시 압량읍 압독4로 3, 1층",경상북도 경산시 압량읍 신대리 680 1층 ,커피숍
333,휴게음식점,마실커피 정평점,"경상북도 경산시 대학로12길 29, 101호 (정평동)",경상북도 경산시 정평동 230-15 101호,커피숍
334,휴게음식점,미야커피(MEYA COFFEE),"경상북도 경산시 하양읍 대경로105길 22-8, 1층",경상북도 경산시 하양읍 부호리 227-2 1층 ,커피숍
335,휴게음식점,쏠,"경상북도 경산시 자인면 꾸메마을길 6, 1,2층","경상북도 경산시 자인면 계남리 472-19 1,2층 ",커피숍
336,휴게음식점,스퀘어 커피(Square Coffee),"경상북도 경산시 펜타힐즈로 74, 힐즈스퀘어1 311호 (중산동)",경상북도 경산시 중산동 632 힐즈스퀘어1 311호,커피숍
337,휴게음식점,텐퍼센트커피 경산옥곡점,"경상북도 경산시 경산로 43, 대원빌딩 1층 (옥곡동)",경상북도 경산시 옥곡동 823-14 대원빌딩 1층 ,커피숍
338,휴게음식점,애프터 밀(After meal),"경상북도 경산시 중앙로17길 3, 1층 (중방동)",경상북도 경산시 중방동 515-1 1층 ,커피숍
339,휴게음식점,기역,"경상북도 경산시 박물관로1길 4-13, 101호 (사동)",경상북도 경산시 사동 646-2 ,커피숍
340,휴게음식점,카페봄봄 자인점,경상북도 경산시 자인면 일연로 67,경상북도 경산시 자인면 서부리 23 ,커피숍
341,휴게음식점,아더 베이크샵(Ardor bakeshop),경상북도 경산시 중방로 4 (중방동),경상북도 경산시 중방동 829-9 ,커피숍
342,휴게음식점,천씨씨커피(사동계양점),"경상북도 경산시 장산로 257, 1층 (사동)",경상북도 경산시 사동 588-10 1층 ,커피숍
343,휴게음식점,쿠프(COUPE),"경상북도 경산시 남매공원로2길 8-1, 1층 (계양동)",경상북도 경산시 계양동 775 1층 ,커피숍
344,휴게음식점,카페봄봄 하양공설시장점,"경상북도 경산시 하양읍 조산천동길 56, 1층",경상북도 경산시 하양읍 동서리 592-43 1층 ,커피숍
345,휴게음식점,나비 커피숍,경상북도 경산시 경안로39길 25 (중방동),경상북도 경산시 중방동 859-1 ,커피숍
346,휴게음식점,빈 벨(Bean Bell),"경상북도 경산시 백양로 117, 더제이빌딩 1층 (사동)",경상북도 경산시 사동 608-11 더제이빌딩 1층 ,커피숍
347,휴게음식점,텐퍼센트커피 펜타힐즈점,"경상북도 경산시 펜타힐즈2로 41, 102호 (중산동)",경상북도 경산시 중산동 637-1 102호,커피숍
348,휴게음식점,마실커피 봉황점,"경상북도 경산시 진량읍 봉황길 27, 1층",경상북도 경산시 진량읍 봉회리 62-3 1층 ,커피숍
349,휴게음식점,제일구락부 대구대점,"경상북도 경산시 진량읍 대구대로 230, A동",경상북도 경산시 진량읍 내리리 103-2 A동 ,커피숍
350,휴게음식점,춘안이네 식당,"경상북도 경산시 와촌면 갓바위로 161, 가동",경상북도 경산시 와촌면 대한리 177 가동 ,커피숍
351,휴게음식점,몬스터커피 하양점,"경상북도 경산시 하양읍 서사도리4로 5, 메이플라워 104호",경상북도 경산시 하양읍 서사리 288 메이플라워 104호,커피숍
352,휴게음식점,다올,"경상북도 경산시 와촌면 용천길 133-6, 1층",경상북도 경산시 와촌면 용천리 652-1 1층 ,커피숍
353,휴게음식점,다올2,"경상북도 경산시 와촌면 용천길 133-6, 2층",경상북도 경산시 와촌면 용천리 652-1 2층 ,커피숍
354,휴게음식점,밤바리(BAMBARI),경상북도 경산시 삼성현로 855-6 (여천동),경상북도 경산시 여천동 81-17 ,커피숍
355,휴게음식점,라포미,경상북도 경산시 중방로 29 (중방동),경상북도 경산시 중방동 826-8 ,커피숍
356,휴게음식점,제이엠티(JMT)카페 경산펜타힐즈점,"경상북도 경산시 펜타힐즈2로 41, 111호 (중산동)",경상북도 경산시 중산동 637-1 111호,커피숍
357,휴게음식점,폴 바셋 경산임당역 DT점,"경상북도 경산시 남매로 255, 1,2층 (중방동)","경상북도 경산시 중방동 35-7 1,2층 ",커피숍
358,휴게음식점,하삼동커피 경산사동점,경상북도 경산시 백양로33길 10 (사동),경상북도 경산시 사동 666-1 ,커피숍
359,휴게음식점,케이엘지 커피(KLG COFFEE),"경상북도 경산시 자인면 교촌길 40, 서광금잔디맨션",경상북도 경산시 자인면 교촌리 342 서광금잔디맨션 ,커피숍
360,휴게음식점,코티지,"경상북도 경산시 장산로30길 2, 1층 (삼북동)",경상북도 경산시 삼북동 99-9 1층 ,커피숍
361,휴게음식점,하이-핌핀(Hi-pimpin),"경상북도 경산시 압량읍 압독1로 13, F동",경상북도 경산시 압량읍 부적리 180-10 F동 ,커피숍
362,휴게음식점,패브릭피치스(FABRIC PEACHES),경상북도 경산시 남산면 삼성현공원로7길 4,경상북도 경산시 남산면 인흥리 269 ,커피숍
363,휴게음식점,구룸밭,"경상북도 경산시 자인면 서부1길 17-8, 1층",경상북도 경산시 자인면 서부리 56 1층 ,커피숍
364,휴게음식점,카페 아이엔지 대구대학교점,"경상북도 경산시 진량읍 대구대로 201, 대구대학교 28. 본관 지하1층",경상북도 경산시 진량읍 내리리 15 대구대학교 28. 본관 지하1층 ,커피숍
365,휴게음식점,이디야커피 계양점,"경상북도 경산시 원효로 142, 1층 (계양동)",경상북도 경산시 계양동 666-16 1층 ,커피숍
366,휴게음식점,카페봄봄 경산IC점,경상북도 경산시 진량읍 대학로 950,경상북도 경산시 진량읍 선화리 712-9 ,커피숍
367,휴게음식점,하삼동커피 하양점,"경상북도 경산시 하양읍 서사도리4로 2, 하양 메디컬타워 101호",경상북도 경산시 하양읍 양지리 264 하양 메디컬타워 101호,커피숍
368,휴게음식점,미니즈 커피(mini's coffee),"경상북도 경산시 대학로61길 21, 1층 (조영동)",경상북도 경산시 조영동 580-6 1층 ,커피숍
369,휴게음식점,투썸플레이스 하양광장메디컬점,"경상북도 경산시 하양읍 서사도리9로 27, 광장메디컬타워 107,202호",경상북도 경산시 하양읍 서사리 343 ,커피숍
370,휴게음식점,청담커피 RG골프점,"경상북도 경산시 압량읍 금구길 23, 1층",경상북도 경산시 압량읍 금구리 371 1층 ,커피숍
371,휴게음식점,시오다과,"경상북도 경산시 하양읍 서사도리5로 15, 센텀1번가 1동 105호",경상북도 경산시 하양읍 서사리 333 센텀1번가 1동 105호,커피숍
372,휴게음식점,텐퍼센트 하양점,경상북도 경산시 하양읍 하양로 55,경상북도 경산시 하양읍 금락리 131-109 ,커피숍
373,휴게음식점,스페이스임원,"경상북도 경산시 하양읍 금호강변로 700, A동",경상북도 경산시 하양읍 금락리 197-5 A동 ,커피숍
374,휴게음식점,더리터 경산진량점,"경상북도 경산시 진량읍 봉황길 41, 진량봉암빌딩 108호",경상북도 경산시 진량읍 봉회리 81-3 진량봉암빌딩 108호,커피숍
375,휴게음식점,커피주당 경산점,"경상북도 경산시 둥지로18길 5, 1층 (임당동)",경상북도 경산시 임당동 585-7 ,커피숍
376,휴게음식점,시크릿커피,경상북도 경산시 경안로 255 (중방동),경상북도 경산시 중방동 828-22 ,커피숍
377,휴게음식점,글로리아,경상북도 경산시 용성면 미산2길 26,경상북도 경산시 용성면 미산리 128-1 ,커피숍
378,휴게음식점,우연카페,"경상북도 경산시 중앙로17길 44, 1층 (중방동)",경상북도 경산시 중방동 444 1층 ,커피숍
379,휴게음식점,"드리브(drip,drib)","경상북도 경산시 경안로 191, 1층 (중방동)",경상북도 경산시 중방동 862-2 1층 ,커피숍
380,휴게음식점,이끼(EKKI)카페,"경상북도 경산시 대학로28길 6-5, 103호 (중방동)",경상북도 경산시 중방동 897 103호,커피숍
381,휴게음식점,카페 코잔타(cojanta),경상북도 경산시 남천면 상대로 21-3,경상북도 경산시 남천면 금곡리 121 ,커피숍
382,휴게음식점,카페 로띠르(Cafe Rotir),"경상북도 경산시 청운로 65, 1층 (조영동)",경상북도 경산시 조영동 239-5 1층 ,커피숍
383,휴게음식점,투썸플레이스 진량농협하나로마트점,"경상북도 경산시 진량읍 공단11로 257-10, 하나로마트 1층",경상북도 경산시 진량읍 문천리 790 하나로마트 1층 ,커피숍
384,휴게음식점,컴포즈커피 진량이안점,"경상북도 경산시 진량읍 일연로 745-1, 1층",경상북도 경산시 진량읍 선화리 465-5 1층 ,커피숍
385,휴게음식점,파라다이스,"경상북도 경산시 대학로61길 24-12, 2층 (조영동)",경상북도 경산시 조영동 261-2 2층 ,커피숍
386,휴게음식점,모꼬모찌,"경상북도 경산시 백자로20길 26, 1층 (사동)",경상북도 경산시 사동 663-1 1층 ,커피숍
387,휴게음식점,달콤하이,경상북도 경산시 중방로 19 (중방동),경상북도 경산시 중방동 827-1 ,커피숍
388,휴게음식점,레이니어(Rainier),"경상북도 경산시 원효로40길 51-6, 1층 (사동)",경상북도 경산시 사동 602-1 1층 ,커피숍
389,휴게음식점,그랜드대디,"경상북도 경산시 압량읍 감못둑길 63-4, 주1동 1층",경상북도 경산시 압량읍 신대리 55-15 1층 주1동 ,커피숍
390,휴게음식점,더리터 경산백천점,"경상북도 경산시 경청로219길 4-6, 123호 (백천동)",경상북도 경산시 백천동 573-1 123호,커피숍
391,휴게음식점,컴포즈커피 진량1공단점,"경상북도 경산시 진량읍 공단1로 34, 1층",경상북도 경산시 진량읍 신상리 366-1 1층 ,커피숍
392,휴게음식점,카페 통,"경상북도 경산시 들뫼길 269, 양혜당 1층 (점촌동)",경상북도 경산시 점촌동 301-7 양혜당 1층 ,커피숍
393,휴게음식점,4416커피바(coffee bar),"경상북도 경산시 경안로44길 16, 1층 (중방동)",경상북도 경산시 중방동 845-1 1층 ,커피숍
394,휴게음식점,멜로디키친,"경상북도 경산시 압량읍 압독4로1길 20-15, 1층",경상북도 경산시 압량읍 신대리 647 1층 ,커피숍
395,휴게음식점,브리즈 온(breeze on),"경상북도 경산시 삼성현로 665, 2,3층 (점촌동)","경상북도 경산시 점촌동 산 43-1 2,3층 ",커피숍
396,휴게음식점,베이굼(Baygoom),"경상북도 경산시 하양읍 서사도리로 71, 상가2동 103호 (경산하양 우미린 에코포레)",경상북도 경산시 하양읍 서사리 286 경산하양 우미린 에코포레 상가2동 103호,커피숍
397,휴게음식점,지지지,"경상북도 경산시 청운1로 60, 1층 (조영동)",경상북도 경산시 조영동 251-22 1층 ,커피숍
398,휴게음식점,커피3.14,경상북도 경산시 경안로 19 (백천동),경상북도 경산시 백천동 1-2 ,커피숍
399,휴게음식점,우니커피(woony coffee),"경상북도 경산시 성동로 14, 1층 (정평동)",경상북도 경산시 정평동 185-1 1층 ,커피숍
400,휴게음식점,서울커피,"경상북도 경산시 경산로16길 8, 1층 (옥곡동)",경상북도 경산시 옥곡동 818-1 1층 ,커피숍
401,휴게음식점,그로우(grow),"경상북도 경산시 자인면 자인로 58, 1층",경상북도 경산시 자인면 교촌리 254 1층 ,커피숍
402,휴게음식점,경산 제주오마카세,"경상북도 경산시 원효로40길 23-7, 2층 (사동)",경상북도 경산시 사동 580-13 2층 ,커피숍
403,휴게음식점,폴 바셋 경산옥곡DT점,"경상북도 경산시 삼성현로 207, 1,2층 (옥곡동)","경상북도 경산시 옥곡동 67 1,2층 ",커피숍
404,휴게음식점,찰스 아노(CHARLES ANO),"경상북도 경산시 남산면 삼성현문화길 9, 1,2층","경상북도 경산시 남산면 인흥리 360-4 1,2층 ",커피숍
405,휴게음식점,카페아이엔지 영남대학생회관점,"경상북도 경산시 대학로 280, 영남대학교 학생회관 1층 (대동)",경상북도 경산시 대동 214-1 영남대학교 학생회관 1층 ,커피숍
406,휴게음식점,하늘호수,"경상북도 경산시 와촌면 갓바위로 115, 가동 2층",경상북도 경산시 와촌면 대한리 145 2층 가동 ,커피숍
407,휴게음식점,마실커피 사동점,경상북도 경산시 백자로 131 (사동),경상북도 경산시 사동 583-15 ,커피숍
408,휴게음식점,도리커피,"경상북도 경산시 하양읍 서사도리1로 2, 썬스타 1층",경상북도 경산시 하양읍 서사리 378 썬스타 1층 ,커피숍
409,휴게음식점,정금커피,"경상북도 경산시 대학로8길 25, 1층 (정평동)",경상북도 경산시 정평동 212 1층 ,커피숍
410,휴게음식점,카페 미구,"경상북도 경산시 하양읍 서사도리1로 1, 1층",경상북도 경산시 하양읍 서사리 357 1층 ,커피숍
411,휴게음식점,카페 니도(Nido),"경상북도 경산시 원효로34길 13, 1층 (사동)",경상북도 경산시 사동 571 1층 ,커피숍
412,휴게음식점,에이티익스프레스 경산하양점,"경상북도 경산시 하양읍 하양로 76, 1층",경상북도 경산시 하양읍 금락리 116-8 1층 ,커피숍
413,휴게음식점,오이드커피,"경상북도 경산시 정평길 30, 401동 110호 (정평동, 정평역하늘채 RIVER PARK)",경상북도 경산시 정평동 276 정평역하늘채 RIVER PARK 401동 110호,커피숍
414,휴게음식점,뭉클(Moongcle)카페,"경상북도 경산시 남매공원로2길 20, 1층 (계양동)",경상북도 경산시 계양동 818 1층 ,커피숍
415,휴게음식점,인포그,"경상북도 경산시 남산면 삼성현로 902, B동 1층",경상북도 경산시 남산면 인흥리 364-13 1층 B동 ,커피숍
416,휴게음식점,리안,"경상북도 경산시 하양읍 서사도리7로 28, 1층",경상북도 경산시 하양읍 서사리 314 1층 ,커피숍
417,휴게음식점,커피명가 포레,경상북도 경산시 압량읍 압독로 105,경상북도 경산시 압량읍 신대리 6 ,커피숍
418,휴게음식점,메가엠지씨커피 경산사동점,"경상북도 경산시 백자로10길 3-11, 102호 (사동)",경상북도 경산시 사동 39 102호,커피숍
419,휴게음식점,스타벅스 경산무학점,"경상북도 경산시 하양읍 서사도리9로 21, 1,2층","경상북도 경산시 하양읍 서사리 340 1,2층 ",커피숍
420,휴게음식점,디저트더샵,"경상북도 경산시 삼풍로2길 4-9, 1층 (삼풍동)",경상북도 경산시 삼풍동 516-20 1층 ,커피숍
421,휴게음식점,청담커피 옥곡점,"경상북도 경산시 경산로16길 2-10, 1층 (옥곡동)",경상북도 경산시 옥곡동 816-6 1층 ,커피숍
422,휴게음식점,요거트퍼플,"경상북도 경산시 경안로33길 23, 1층 (중방동)",경상북도 경산시 중방동 875-3 1층 ,커피숍
423,휴게음식점,에밀그린,"경상북도 경산시 하양읍 아낙고개길 8-1, E동 1층",경상북도 경산시 하양읍 금락리 114-3 1층 E동 ,커피숍
424,휴게음식점,마시9,"경상북도 경산시 성암로9길 7, A동 114호 (옥산동)",경상북도 경산시 옥산동 849-1 A동 114호,커피숍
425,휴게음식점,이디야커피 경산영남대점,"경상북도 경산시 청운로 18, 주1동 1층 (대동)",경상북도 경산시 대동 157-5 1층 주1동 ,커피숍
426,휴게음식점,인필름(infilm),"경상북도 경산시 하양읍 금호강변로 690, 1,2층","경상북도 경산시 하양읍 금락리 192-3 1,2층 ",커피숍
427,휴게음식점,바나타이거 경산진량점,경상북도 경산시 진량읍 공단로 461,경상북도 경산시 진량읍 신상리 207-2 ,커피숍
428,휴게음식점,백억커피 경산하양점,"경상북도 경산시 하양읍 하양로 81, 1층",경상북도 경산시 하양읍 금락리 115-20 1층 ,커피숍
429,휴게음식점,낙산쉼북카페,"경상북도 경산시 진량읍 낙산길 23, 1층",경상북도 경산시 진량읍 신상리 729 1층 ,커피숍
430,휴게음식점,쉬다가게,경상북도 경산시 진량읍 버티미길 74,경상북도 경산시 진량읍 보인리 70-1 ,커피숍
431,휴게음식점,루틴,"경상북도 경산시 자인면 일연로 83-2, 1,2층","경상북도 경산시 자인면 서부리 49-1 1,2층 ",커피숍
432,휴게음식점,오트다람,"경상북도 경산시 진량읍 봉회1길 26, B동 1,2층","경상북도 경산시 진량읍 봉회리 117 1,2층 B동 ",커피숍
